#{"t_start": 1747715617.703586, "env_id": "CartPole-v1"}
r,l,t
9.0,9,9.981065
12.0,12,9.987248
10.0,10,9.991013
9.0,9,9.994583
11.0,11,9.998508
11.0,11,10.002537
11.0,11,10.006444
9.0,9,10.009971
11.0,11,10.014011
12.0,12,10.021375
11.0,11,10.025331
12.0,12,10.029524
9.0,9,10.033132
12.0,12,10.037259
11.0,11,10.04216
13.0,13,10.046567
11.0,11,10.050542
13.0,13,10.055786
11.0,11,10.059715
13.0,13,10.064998
12.0,12,10.069121
17.0,17,10.075953
13.0,13,10.080226
11.0,11,10.084158
16.0,16,10.092087
13.0,13,10.096418
10.0,10,10.100176
13.0,13,10.105433
11.0,11,10.109428
10.0,10,10.113107
10.0,10,10.116994
9.0,9,10.12054
13.0,13,10.124796
11.0,11,10.129661
11.0,11,10.133723
10.0,10,10.137441
11.0,11,10.141441
11.0,11,10.145302
13.0,13,10.1505
13.0,13,10.154859
11.0,11,10.159905
13.0,13,10.164173
12.0,12,10.169408
8.0,8,10.171858
11.0,11,10.175671
13.0,13,10.181071
13.0,13,10.186239
11.0,11,10.190197
12.0,12,10.195317
10.0,10,10.199098
10.0,10,10.203013
11.0,11,10.20697
9.0,9,10.210569
13.0,13,10.227886
12.0,12,10.232173
13.0,13,10.237434
12.0,12,10.241557
13.0,13,10.246877
15.0,15,10.252485
11.0,11,10.256411
12.0,12,10.260521
12.0,12,10.265605
12.0,12,10.269715
12.0,12,10.275045
10.0,10,10.278758
13.0,13,10.283065
11.0,11,10.287124
11.0,11,10.292069
15.0,15,10.297643
15.0,15,10.304374
13.0,13,10.308784
13.0,13,10.31413
19.0,19,10.321467
15.0,15,10.326987
19.0,19,10.333304
15.0,15,10.338867
16.0,16,10.345656
17.0,17,10.351646
11.0,11,10.355477
12.0,12,10.360515
18.0,18,10.366923
13.0,13,10.372114
17.0,17,10.37812
15.0,15,10.38377
19.0,19,10.391147
20.0,20,10.398791
18.0,18,10.406963
14.0,14,10.411357
15.0,15,10.419503
17.0,17,10.426617
21.0,21,10.434221
15.0,15,10.439792
22.0,22,10.447679
14.0,14,10.453201
20.0,20,10.460716
19.0,19,10.467874
24.0,24,10.476907
16.0,16,10.482889
18.0,18,10.489934
16.0,16,10.495737
16.0,16,10.501601
15.0,15,10.507248
13.0,13,10.513654
17.0,17,10.519681
13.0,13,10.525012
11.0,11,10.528968
15.0,15,10.534602
10.0,10,10.538403
11.0,11,10.542276
18.0,18,10.549284
9.0,9,10.551935
10.0,10,10.555654
11.0,11,10.560502
9.0,9,10.563176
16.0,16,10.570005
11.0,11,10.573968
12.0,12,10.57813
11.0,11,10.582075
11.0,11,10.586921
12.0,12,10.591012
13.0,13,10.596403
10.0,10,10.600167
14.0,14,10.604605
10.0,10,10.622514
10.0,10,10.626387
11.0,11,10.631297
10.0,10,10.635009
11.0,11,10.639005
11.0,11,10.642881
11.0,11,10.646854
11.0,11,10.650765
16.0,16,10.657572
10.0,10,10.661272
10.0,10,10.665017
11.0,11,10.668906
14.0,14,10.674373
12.0,12,10.678446
13.0,13,10.683706
10.0,10,10.687504
11.0,11,10.691431
12.0,12,10.695478
10.0,10,10.699259
10.0,10,10.702969
10.0,10,10.706745
12.0,12,10.711863
9.0,9,10.714525
14.0,14,10.719931
12.0,12,10.726273
10.0,10,10.730174
12.0,12,10.734251
12.0,12,10.738381
13.0,13,10.743611
14.0,14,10.749017
11.0,11,10.752968
13.0,13,10.758145
11.0,11,10.76228
10.0,10,10.766058
10.0,10,10.769767
12.0,12,10.773866
12.0,12,10.778911
12.0,12,10.783052
9.0,9,10.786579
13.0,13,10.790953
11.0,11,10.795821
10.0,10,10.799701
9.0,9,10.802286
12.0,12,10.807373
12.0,12,10.814002
12.0,12,10.819135
11.0,11,10.82308
10.0,10,10.827924
11.0,11,10.831853
9.0,9,10.835478
10.0,10,10.839372
10.0,10,10.84326
12.0,12,10.847326
17.0,17,10.854156
11.0,11,10.858124
14.0,14,10.86348
13.0,13,10.867881
9.0,9,10.8714
11.0,11,10.875404
12.0,12,10.880458
12.0,12,10.884585
13.0,13,10.889865
11.0,11,10.893745
12.0,12,10.89791
12.0,12,10.902934
15.0,15,10.908597
18.0,18,10.914888
13.0,13,10.920062
